"name","desc","coded"
"DOEID","Unique identifier for each respondent","10001 - 	Unique identifier for each respondent
2	Rented
3	Occupied without payment of rent
"
"ZKOWNRENT","Imputation flag for KOWNRENT","1	Imputed
0	Not imputed
"
"YEARMADERANGE","Range when housing unit was built","1	Before 1950
2	1950 to 1959
3	1960 to 1969
4	1970 to 1979
5	1980 to 1989
6	1990 to 1999
7	2000 to 2009
8	2010 to 2015
"
"ZYEARMADERANGE","Imputation flag for YEARMADERANGE","1	Imputed
0	Not imputed
"
"OCCUPYYRANGE","Range when household moved in","1	Before 1950
2	1950 to 1959
3	1960 to 1969
4	1970 to 1979
5	1980 to 1989
6	1990 to 1999
7	2000 to 2009
8	2010 to 2015
"
"ZOCCUPYYRANGE","Imputation flag for OCCUPYYRANGE","1	Imputed
0	Not imputed
"
"STUDIO","Studio apartment","1	Yes
0	No
-2	Not applicable
"
"ZSTUDIO","Imputation flag for STUDIO","1	Imputed
0	Not imputed
-2	Not applicable
"
"BEDROOMS","Number of bedrooms","0 - 30	Number of bedrooms
"
"ZBEDROOMS","Imputation flag for BEDROOMS","1	Imputed
0	Not imputed
"
"NCOMBATH","Number of full bathrooms","0 - 30	Number of full bathrooms
"
"ZNCOMBATH","Imputation flag for NCOMBATH","1	Imputed
0	Not imputed
"
"NHAFBATH","Number of half bathrooms","0 - 30	Number of half bathrooms
"
"ZNHAFBATH","Imputation flag for NHAFBATH","1	Imputed
0	Not imputed
"
"OTHROOMS","Number of other rooms","1 - 30	Number of other rooms
"
"ZOTHROOMS","Imputation flag for OTHROOMS","1	Imputed
0	Not imputed
"
"TOTROOMS","Total number of rooms in the housing unit, excluding bathrooms","1 - 60	Total number of rooms in the housing unit, excluding bathrooms
"
"ZTOTROOMS","Imputation flag for TOTROOMS","1	Imputed
0	Not imputed
"
"WALLTYPE","Major outside wall material","1	Brick
2	Wood
3	Siding
4	Stucco
5	Shingle (composition)
6	Stone
7	Concrete or concrete block
9	Other
"
"ZWALLTYPE","Imputation flag for WALLTYPE","1	Imputed
0	Not imputed
"
"ROOFTYPE","Major roofing material","1	Ceramic or clay tiles
2	Wood shingles/shakes
3	Metal
4	Slate or synthetic shake
5	Shingles (composition or asphalt)
7	Concrete tiles
9	Other
-2	Not applicable
"
"ZROOFTYPE","Imputation flag for ROOFTYPE","1	Imputed
0	Not imputed
-2	Not applicable
"
"HIGHCEIL","High ceilings","1	Yes
0	No
-2	Not applicable
"
"ZHIGHCEIL","Imputation flag for HIGHCEIL","1	Imputed
0	Not imputed
-2	Not applicable
"
"DOOR1SUM","Number of sliding glass doors","0 - 10	Number of sliding glass doors
"
"ZDOOR1SUM","Imputation flag for DOOR1SUM","1	Imputed
0	Not imputed
"
"WINDOWS","Number of windows","10	1 to 2
20	3 to 5
30	6 to 9
41	10 to 15
42	16 to 19
50	20 to 29
60	30 or more
"
"ZWINDOWS","Imputation flag for WINDOWS","1	Imputed
0	Not imputed
"
"TYPEGLASS","Type of glass in most windows","1	Single-pane glass
2	Double-pane glass
3	Triple-pane glass
"
"ZTYPEGLASS","Imputation flag for TYPEGLASS","1	Imputed
0	Not imputed
"
"WINFRAME","Window frame material","1	Wood
2	Metal (aluminum)
3	Vinyl
4	Composite
5	Fiberglass
"
"ZWINFRAME","Imputation flag for WINFRAME","1	Imputed
0	Not imputed
"
"ADQINSUL","Level of insulation","1	Well insulated
2	Adequately insulated
3	Poorly insulated
4	Not insulated
"
"ZADQINSUL","Imputation flag for ADQINSUL","1	Imputed
0	Not imputed
"
"DRAFTY","Frequency of draft","1	All the time
2	Most of the time
3	Some of the time
4	Never
"
"ZDRAFTY","Imputation flag for DRAFTY","1	Imputed
0	Not imputed
"
"UGASHERE","Natural gas available in neighborhood","1	Yes
0	No
"
"ZUGASHERE","Imputation flag for UGASHERE","1	Imputed
0	Not imputed
"
"SWIMPOOL","Swimming pool","1	Yes
0	No
-2	Not applicable
"
"ZSWIMPOOL","Imputation flag for SWIMPOOL","1	Imputed
0	Not imputed
-2	Not applicable
"
"MONPOOL","Months swimming pool used in the last year","0 - 12	Months swimming pool used in the last year
-2	Not applicable
"
"ZMONPOOL","Imputation flag for MONPOOL","1	Imputed
0	Not imputed
-2	Not applicable
"
"POOL","Heated swimming pool","1	Yes
0	No
-2	Not applicable
"
"ZPOOL","Imputation flag for POOL","1	Imputed
0	Not imputed
-2	Not applicable
"
"FUELPOOL","Fuel used for heating swimming pool","1	Natural gas from underground pipes
2	Propane (bottled gas)
3	Fuel oil/kerosene
5	Electricity
8	Solar
21	Some other fuel
-2	Not applicable
"
"ZFUELPOOL","Imputation flag for FUELPOOL","1	Imputed
0	Not imputed
-2	Not applicable
"
"RECBATH","Hot tub","1	Yes
0	No
"
"ZRECBATH","Imputation flag for RECBATH","1	Imputed
0	Not imputed
"
"MONTUB","Months hot tub used in the last year","0 - 12	Months hot tub used in the last year
-2	Not applicable
"
"ZMONTUB","Imputation flag for MONTUB","1	Imputed
0	Not imputed
-2	Not applicable
"
"FUELTUB","Fuel used for heating hot tub","1	Natural gas from underground pipes
2	Propane (bottled gas)
3	Fuel oil/kerosene
5	Electricity
8	Solar
21	Some other fuel
-2	Not applicable
"
"ZFUELTUB","Imputation flag for FUELTUB","1	Imputed
0	Not imputed
-2	Not applicable
"
"OUTLET","Outlet within 20 feet of vehicle parking","1	Yes
0	No
-2	Not applicable
"
"ZOUTLET","Imputation flag for OUTLET","1	Imputed
0	Not imputed
-2	Not applicable
"
"ALTFUELPEV","Plug-in electric vehicle","1	Yes
0	No
"
"ZALTFUELPEV","Imputation flag for ALTFUELPEV","1	Imputed
0	Not imputed
"
"BACKUP","Back-up generator","1	Yes
0	No
-2	Not applicable
"
"ZBACKUP","Imputation flag for BACKUP","1	Imputed
0	Not imputed
-2	Not applicable
"
"SOLAR","On-site electricity generation from solar","1	Yes
0	No
-2	Not applicable
"
"NUMFRIG","Number of refrigerators used","0 - 30	Number of refrigerators used
"
"ZNUMFRIG","Imputation flag for NUMFRIG","1	Imputed
0	Not imputed
"
"SIZRFRI1","Size of most-used refrigerator","1	Half-size or compact
2	Small (17.5 cubic feet or less)
3	Medium (17.6 to 22.5 cubic feet)
4	Large (22.6 to 29.5 cubic feet)
5	Very large (bigger than 29.5 cubic feet)
-2	Not applicable
"
"ZSIZRFRI1","Imputation flag for SIZRFRI1","1	Imputed
0	Not imputed
-2	Not applicable
"
"TYPERFR1","Door arrangement of most-used refrigerator","1	One door
21	Two doors, freezer next to the refrigerator
22	Two doors, freezer above the refrigerator
23	Two doors, freezer below the refrigerator
5	Three or more doors
-2	Not applicable
"
"ZTYPERFR1","Imputation flag for TYPERFR1","1	Imputed
0	Not imputed
-2	Not applicable
"
"AGERFRI1","Age of most-used refrigerator","1	Less than 2 years old
2	2 to 4 years old
3	5 to 9 years old
41	10 to 14 years old
42	15 to 19 years old
5	20 years or older
-2	Not applicable
"
"ZAGERFRI1","Imputation flag for AGERFRI1","1	Imputed
0	Not imputed
-2	Not applicable
"
"ICE","Through-the-door ice on most-used refrigerator","1	Yes
0	No
-2	Not applicable
"
"ZICE","Imputation flag for ICE","1	Imputed
0	Not imputed
-2	Not applicable
"
"SIZRFRI2","Size of second most-used refrigerator","1	Half-size or compact
2	Small (17.5 cubic feet or less)
3	Medium (17.6 to 22.5 cubic feet)
4	Large (22.6 to 29.5 cubic feet)
5	Very large (bigger than 29.5 cubic feet)
-2	Not applicable
"
"ZSIZRFRI2","Imputation flag for SIZRFRI2","1	Imputed
0	Not imputed
-2	Not applicable
"
"TYPERFR2","Door arrangement of second most-used refrigerator","1	One door
21	Two doors, freezer next to the refrigerator
22	Two doors, freezer above the refrigerator
23	Two doors, freezer below the refrigerator
5	Three or more doors
-2	Not applicable
"
"ZTYPERFR2","Imputation flag for TYPERFR2","1	Imputed
0	Not imputed
-2	Not applicable
"
"AGERFRI2","Age of second most-used refrigerator","1	Less than 2 years old
2	2 to 4 years old
3	5 to 9 years old
41	10 to 14 years old
42	15 to 19 years old
5	20 years or older
-2	Not applicable
"
"ZAGERFRI2","Imputation flag for AGERFRI2","1	Imputed
0	Not imputed
-2	Not applicable
"
"LOCRFRI2","Location of second most-used refrigerator","1	Basement
2	Garage
3	Outside
4	Main floor of house
9	Other
-2	Not applicable
"
"ZLOCRFRI2","Imputation flag for LOCRFRI2","1	Imputed
0	Not imputed
-2	Not applicable
"
"NUMFREEZ","Number of separate freezers used","0 - 30	Number of separate freezers used
"
"ZNUMFREEZ","Imputation flag for NUMFREEZ","1	Imputed
0	Not imputed
"
"UPRTFRZR","Door arrangement of most-used freezer","1	Upright
2	Chest
-2	Not applicable
"
"ZUPRTFRZR","Imputation flag for UPRTFRZR","1	Imputed
0	Not imputed
-2	Not applicable
"
"SIZFREEZ","Size of most-used freezer","1	Half-size or compact
2	Small (17.5 cubic feet or less)
3	Medium (17.6 to 22.5 cubic feet)
4	Large (22.6 to 29.5 cubic feet)
5	Very large (bigger than 29.5 cubic feet)
-2	Not applicable
"
"ZSIZFREEZ","Imputation flag for SIZFREEZ","1	Imputed
0	Not imputed
-2	Not applicable
"
"AGEFRZR","Age of most-used freezer","1	Less than 2 years old
2	2 to 4 years old
3	5 to 9 years old
41	10 to 14 years old
42	15 to 19 years old
5	20 years or older
-2	Not applicable
"
"ZAGEFRZR","Imputation flag for AGEFRZR","1	Imputed
0	Not imputed
-2	Not applicable
"
"STOVEN","Number of stoves","0 - 9	Number of stoves
"
"ZSTOVEN","Imputation flag for STOVEN","1	Imputed
0	Not imputed
"
"STOVENFUEL","Fuel used by stove","1	Natural gas from underground pipes 
2	Propane (bottled gas) 
5	Electricity
13	Dual fuel
21	Some other fuel
-2	Not applicable
"
"ZSTOVENFUEL","Imputation flag for STOVENFUEL","1	Imputed
0	Not imputed
-2	Not applicable
"
"DUALCOOKTFUEL","Fuel used by cooktop part of stove","1	Natural gas from underground pipes 
2	Propane (bottled gas)
5	Electricity
21	Some other fuel
-2	Not applicable
"
"ZDUALCOOKTFUEL","Imputation flag for DUALCOOKTFUEL","1	Imputed
0	Not imputed
-2	Not applicable
"
"DUALOVENFUEL","Fuel used by oven part of stove","1	Natural gas from underground pipes 
2	Propane (bottled gas)
5	Electricity
21	Some other fuel
-2	Not applicable
"
"ZDUALOVENFUEL","Imputation flag for DUALOVENFUEL","1	Imputed
0	Not imputed
-2	Not applicable
"
"COOKTUSE","Frequency of use of cooktop part of stove","0 - 99	Frequency of use of cooktop part of stove per week
-2	Not applicable
"
"ZCOOKTUSE","Imputation flag for COOKTUSE","1	Imputed
0	Not imputed
-2	Not applicable
"
"OVENUSE","Frequency of use of oven part of stove","0 - 99	Frequency of use of oven part of stove per week
-2	Not applicable
"
"ZOVENUSE","Imputation flag for OVENUSE","1	Imputed
0	Not imputed
-2	Not applicable
"
"STOVE","Number of separate cooktops","0 - 9	Number of separate cooktops
"
"ZSTOVE","Imputation flag for STOVE","1	Imputed
0	Not imputed
"
"STOVEFUEL","Fuel used by separate cooktop","1	Natural gas from underground pipes 
2	Propane (bottled gas)
5	Electricity
21	Some other fuel
-2	Not applicable
"
"ZSTOVEFUEL","Imputation flag for STOVEFUEL","1	Imputed
0	Not imputed
-2	Not applicable
"
"SEPCOOKTUSE","Frequency of separate cooktop use","0 - 99	Frequency of separate cooktop use per week
-2	Not applicable
"
"ZSEPCOOKTUSE","Imputation flag for SEPCOOKTUSE","1	Imputed
0	Not imputed
-2	Not applicable
"
"OVEN","Number of separate ovens","0 - 9	Number of separate ovens
"
"ZOVEN","Imputation flag for OVEN","1	Imputed
0	Not imputed
"
"OVENFUEL","Fuel used by separate oven","1	Natural gas from underground pipes 
2	Propane (bottled gas)
5	Electricity
21	Some other fuel
-2	Not applicable
"
"ZOVENFUEL","Imputation flag for OVENFUEL","1	Imputed
0	Not imputed
-2	Not applicable
"
"SEPOVENUSE","Frequency of separate oven use","0 - 99	Frequency of separate oven use per week
-2	Not applicable
"
"ZSEPOVENUSE","Imputation flag for SEPOVENUSE","1	Imputed
0	Not imputed
-2	Not applicable
"
"MICRO","Microwave oven used","0 - 9	Number of microwave ovens
"
"ZMICRO","Imputation flag for MICRO","1	Imputed
0	Not imputed
"
"AMTMICRO","Frequency of microwave use","0 - 99	Frequency of microwave use per week
-2	Not applicable
"
"ZAMTMICRO","Imputation flag for AMTMICRO","1	Imputed
0	Not imputed
-2	Not applicable
"
"OUTGRILL","Outdoor grill used","1	Yes
0	No
"
"ZOUTGRILL","Imputation flag for OUTGRILL","1	Imputed
0	Not imputed
"
"OUTGRILLFUEL","Fuels used by outdoor grill","1	Natural gas from underground pipes 
2	Propane (bottled gas)
21	Some other fuel
23	Charcoal
-2	Not applicable
"
"ZOUTGRILLFUEL","Imputation flag for OUTGRILLFUEL","1	Imputed
0	Not imputed
-2	Not applicable
"
"NUMMEAL","Frequency hot meals are cooked","1	Three or more times a day
2	Two times a day
3	Once a day
4	A few times each week
5	About once a week
6	Less than once a week
0	Never
"
"ZNUMMEAL","Imputation flag for NUMMEAL","1	Imputed
0	Not imputed
"
"TOAST","Toaster used","1	Yes
0	No
"
"ZTOAST","Imputation flag for TOAST","1	Imputed
0	Not imputed
"
"TOASTOVN","Toaster oven used","1	Yes
0	No
"
"ZTOASTOVN","Imputation flag for TOASTOVN","1	Imputed
0	Not imputed
"
"COFFEE","Coffee maker used","1	Yes
0	No
"
"ZCOFFEE","Imputation flag for COFFEE","1	Imputed
0	Not imputed
"
"CROCKPOT","Crockpot or slow cooker used","1	Yes
0	No
"
"ZCROCKPOT","Imputation flag for CROCKPOT","1	Imputed
0	Not imputed
"
"FOODPROC","Food processor used","1	Yes
0	No
"
"ZFOODPROC","Imputation flag for FOODPROC","1	Imputed
0	Not imputed
"
"RICECOOK","Rice cooker used","1	Yes
0	No
"
"ZRICECOOK","Imputation flag for RICECOOK","1	Imputed
0	Not imputed
"
"BLENDER","Blender or juicer used","1	Yes
0	No
"
"ZBLENDER","Imputation flag for BLENDER","1	Imputed
0	Not imputed
"
"APPOTHER","Other small appliance used","1	Yes
0	No
"
"ZAPPOTHER","Imputation flag for APPOTHER","1	Imputed
0	Not imputed
"
"DISHWASH","Have dishwasher","1	Yes
0	No
"
"ZDISHWASH","Imputation flag for DISHWASH","1	Imputed
0	Not imputed
"
"DWASHUSE","Frequency of dishwasher use","0 - 99	Frequency of dishwasher use per week
-2	Not applicable
"
"ZDWASHUSE","Imputation flag for DWASHUSE","1	Imputed
0	Not imputed
-2	Not applicable
"
"DWCYCLE","Dishwasher cycle type","1	Normal or default cycle without heated dry
2	Normal or default cycle with heated dry
3	Heavy or “pots and pans” cycle
4	Light or delicate cycle
5	Energy saver
-2	Not applicable
"
"ZDWCYCLE","Imputation flag for DWCYCLE","1	Imputed
0	Not imputed
-2	Not applicable
"
"AGEDW","Age of dishwasher","1	Less than 2 years old
2	2 to 4 years old
3	5 to 9 years old
41	10 to 14 years old
42	15 to 19 years old
5	20 years or older
-2	Not applicable
"
"ZAGEDW","Imputation flag for AGEDW","1	Imputed
0	Not imputed
-2	Not applicable
"
"CWASHER","Have clothes washer in home","1	Yes
0	No
"
"ZCWASHER","Imputation flag for CWASHER","1	Imputed
0	Not imputed
"
"TOPFRONT","Top or front loading clothes washer","1	Top loading
2	Front loading
-2	Not applicable
"
"ZTOPFRONT","Imputation flag for TOPFRONT","1	Imputed
0	Not imputed
-2	Not applicable
"
"WASHLOAD","Frequency of clothes washer use","0 - 99	Frequency of clothes washer use per week
-2	Not applicable
"
"ZWASHLOAD","Imputation flag for WASHLOAD","1	Imputed
0	Not imputed
-2	Not applicable
"
"WASHTEMP","Water temperature used for wash cycle","1	Hot
2	Warm
3	Cold
-2	Not applicable
"
"ZWASHTEMP","Imputation flag for WASHTEMP","1	Imputed
0	Not imputed
-2	Not applicable
"
"RNSETEMP","Water temperature used for rinse cycle","1	Hot
2	Warm
3	Cold
-2	Not applicable
"
"ZRNSETEMP","Imputation flag for RNSETEMP","1	Imputed
0	Not imputed
-2	Not applicable
"
"AGECWASH","Age of clothes washer","1	Less than 2 years old
2	2 to 4 years old
3	5 to 9 years old
41	10 to 14 years old
42	15 to 19 years old
5	20 years or older
-2	Not applicable
"
"ZAGECWASH","Imputation flag for AGECWASH","1	Imputed
0	Not imputed
-2	Not applicable
"
"DRYER","Have clothes dryer in home","1	Yes
0	No
"
"ZDRYER","Imputation flag for DRYER","1	Imputed
0	Not imputed
"
"DRYRFUEL","Fuel used by clothes dryer","1	Natural gas from underground pipes
2	Propane (bottled gas)
5	Electricity
-2	Not applicable
"
"ZDRYRFUEL","Imputation flag for DRYRFUEL","1	Imputed
0	Not imputed
-2	Not applicable
"
"DRYRUSE","Frequency of clothes dryer use","0 - 99	Frequency of clothes dryer use per week
-2	Not applicable
"
"ZDRYRUSE","Imputation flag for DRYRUSE","1	Imputed
0	Not imputed
-2	Not applicable
"
"AGECDRYER","Age of clothes dryer","1	Less than 2 years old
2	2 to 4 years old
3	5 to 9 years old
41	10 to 14 years old
42	15 to 19 years old
5	20 years or older
-2	Not applicable
"
"ZAGECDRYER","Imputation flag for AGECDRYER","1	Imputed
0	Not imputed
-2	Not applicable
"
"TVCOLOR","Number of televisions used","0 - 30	Number of televisions used
"
"ZTVCOLOR","Imputation flag for TVCOLOR","1	Imputed
0	Not imputed
"
"TVSIZE1","Size of most-used TV","1	27 inches or less
2	28 to 39 inches
3	40 to 59 inches
4	60 inches or more
-2	Not applicable
"
"ZTVSIZE1","Imputation flag for TVSIZE1","1	Imputed
0	Not imputed
-2	Not applicable
"
"TVTYPE1","Display type of most-used TV","1	LCD
2	Plasma
3	LED
4	Projection
5	Standard tube
-2	Not applicable
"
"ZTVTYPE1","Imputation flag for TVTYPE1","1	Imputed
0	Not imputed
-2	Not applicable
"
"TVONWD1","Most-used TV usage on weekdays","1	Less than 1 hour
2	1 to 3 hours  
3	4 to 6 hours 
4	7 to 10 hours 
5	More than 10 hours
-2	Not applicable
"
"ZTVONWD1","Imputation flag for TVONWD1","1	Imputed
0	Not imputed
-2	Not applicable
"
"TVONWE1","Most-used TV usage on weekends","1	Less than 1 hour
2	1 to 3 hours  
3	4 to 6 hours 
4	7 to 10 hours 
5	More than 10 hours
-2	Not applicable
"
"ZTVONWE1","Imputation flag for TVONWE1","1	Imputed
0	Not imputed
-2	Not applicable
"
"TVSIZE2","Size of second most-used TV","1	27 inches or less
2	28 to 39 inches
3	40 to 59 inches
4	60 inches or more
-2	Not applicable
"
"ZTVSIZE2","Imputation flag for TVSIZE2","1	Imputed
0	Not imputed
-2	Not applicable
"
"TVTYPE2","Display type of second most-used TV","1	LCD
2	Plasma
3	LED
4	Projection
5	Standard tube
-2	Not applicable
"
"ZTVTYPE2","Imputation flag for TVTYPE2","1	Imputed
0	Not imputed
-2	Not applicable
"
"TVONWD2","Second most-used TV usage on weekdays","1	Less than 1 hour
2	1 to 3 hours  
3	4 to 6 hours 
4	7 to 10 hours 
5	More than 10 hours
-2	Not applicable
"
"ZTVONWD2","Imputation flag for TVONWD2","1	Imputed
0	Not imputed
-2	Not applicable
"
"TVONWE2","Second most-used TV usage on weekends","1	Less than 1 hour
2	1 to 3 hours  
3	4 to 6 hours 
4	7 to 10 hours 
5	More than 10 hours
-2	Not applicable
"
"ZTVONWE2","Imputation flag for TVONWE2","1	Imputed
0	Not imputed
-2	Not applicable
"
"CABLESAT","Number of cable or satellite boxes without DVR","0 - 30	Number of cable or satellite boxes without DVR
-2	Not applicable
"
"ZCABLESAT","Imputation flag for CABLESAT","1	Imputed
0	Not imputed
-2	Not applicable
"
"COMBODVR","Number of cable or satellite boxes with DVR","0 - 30	Number of cable or satellite boxes with DVR
-2	Not applicable
"
"ZCOMBODVR","Imputation flag for COMBODVR","1	Imputed
0	Not imputed
-2	Not applicable
"
"SEPDVR","Number of separate DVRs","0 - 30	Number of separate DVRs
-2	Not applicable
"
"ZSEPDVR","Imputation flag for SEPDVR","1	Imputed
0	Not imputed
-2	Not applicable
"
"PLAYSTA","Number of video game consoles","0 - 30	Number of video game consoles
-2	Not applicable
"
"ZPLAYSTA","Imputation flag for PLAYSTA","1	Imputed
0	Not imputed
-2	Not applicable
"
"DVD","Number of DVD or Blu-ray players","0 - 30	Number of DVD or Blu-ray players
-2	Not applicable
"
"ZDVD","Imputation flag for DVD","1	Imputed
0	Not imputed
-2	Not applicable
"
"VCR","Number of VCRs","0 - 30	Number of VCRs
-2	Not applicable
"
"ZVCR","Imputation flag for VCR","1	Imputed
0	Not imputed
-2	Not applicable
"
"INTSTREAM","Number of internet streaming devices","0 - 30	Number of internet streaming devices
-2	Not applicable
"
"ZINTSTREAM","Imputation flag for INTSTREAM","1	Imputed
0	Not imputed
-2	Not applicable
"
"TVAUDIOSYS","Number of home theater or audio systems","0 - 30	Number of home theater or audio systems
-2	Not applicable
"
"ZTVAUDIOSYS","Imputation flag for TVAUDIOSYS","1	Imputed
0	Not imputed
-2	Not applicable
"
"DESKTOP","Number of desktop computers","0 - 30	Number of desktop computers
"
"ZDESKTOP","Imputation flag for DESKTOP","1	Imputed
0	Not imputed
"
"NUMLAPTOP","Number of laptop computers","0 - 30	Number of laptop computers
"
"ZNUMLAPTOP","Imputation flag for NUMLAPTOP","1	Imputed
0	Not imputed
"
"NUMTABLET","Number of tablet computers or e-readers","0 - 30	Number of tablet computers or e-readers
"
"ZNUMTABLET","Imputation flag for NUMTABLET","1	Imputed
0	Not imputed
"
"ELPERIPH","Number of printers, scanners, fax machines, or copiers","0 - 30	Number of printers, scanners, fax machines, or copiers
"
"ZELPERIPH","Imputation flag for ELPERIPH","1	Imputed
0	Not imputed
"
"NUMSMPHONE","Number of smart phones","0 - 30	Number of smart phones
"
"ZNUMSMPHONE","Imputation flag for NUMSMPHONE","1	Imputed
0	Not imputed
"
"CELLPHONE","Number of other cell phones","0 - 30	Number of other cell phones
"
"ZCELLPHONE","Imputation flag for CELLPHONE","1	Imputed
0	Not imputed
"
"INTERNET","Internet access at home","1	Yes
0	No
"
"ZINTERNET","Imputation flag for INTERNET","1	Imputed
0	Not imputed
"
"INWIRELESS","Wireless internet access","1	Yes
0	No
-2	Not applicable
"
"ZINWIRELESS","Imputation flag for INWIRELESS","1	Imputed
0	Not imputed
-2	Not applicable
"
"HEATHOME","Space heating used","1	Yes
0	No
"
"ZHEATHOME","Imputation flag for HEATHOME","1	Imputed
0	Not imputed
"
"DNTHEAT","No space heating equipment, or unused space heating equipment","1	Have equipment, but don't use it
2	Don't have equipment
-2	Not applicable
"
"ZDNTHEAT","Imputation flag for DNTHEAT","1	Imputed
0	Not imputed
-2	Not applicable
"
"EQUIPM","Main space heating equipment type","2	Steam/hot water system with radiators or pipes
3	Central furnace
4	Heat pump
5	Built-in electric units installed in walls, ceilings, baseboards, or floors
6	Built-in floor/wall pipeless furnace
7	Built-in room heater burning gas, oil, or kerosene
8	Wood-burning stove
9	Fireplace
10	Portable electric heaters
21	Some other equipment
-2	Not applicable
"
"ZEQUIPM","Imputation flag for EQUIPM","1	Imputed
0	Not imputed
-2	Not applicable
"
"FUELHEAT","Main space heating fuel","1	Natural gas from underground pipes
2	Propane (bottled gas)
3	Fuel oil/kerosene
5	Electricity
7	Wood
21	Some other fuel
-2	Not applicable
"
"ZFUELHEAT","Imputation flag for FUELHEAT","1	Imputed
0	Not imputed
-2	Not applicable
"
"EQUIPAGE","Age of main space heating equipment","1	Less than 2 years old
2	2 to 4 years old
3	5 to 9 years old
41	10 to 14 years old
42	15 to 19 years old
5	20 years old
-2	Not applicable
"
"ZEQUIPAGE","Imputation flag for EQUIPAGE","1	Imputed
0	Not imputed
-2	Not applicable
"
"THERMAIN","Any thermostats","1	Yes
0	No
-2	Not applicable
"
"ZTHERMAIN","Imputation flag for THERMAIN","1	Imputed
0	Not imputed
-2	Not applicable
"
"PROTHERM","Programmable main thermostat","1	Yes
0	No
-2	Not applicable
"
"ZPROTHERM","Imputation flag for PROTHERM","1	Imputed
0	Not imputed
-2	Not applicable
"
"EQUIPMUSE","Main heating equipment household behavior","1	Set one temperature and leave it there most of the time
2	Manually adjust the temperature at night or when no one is at home
3	Program the thermostat to automatically adjust the temperature during the day and night at certain times
4	Turn equipment on or off as needed
5	Our household does not have control over the equipment
9	Other
-9	Not applicable
"
"ZEQUIPMUSE","Imputation flag for EQUIPMUSE","1	Imputed
0	Not imputed
-2	Not applicable
"
"TEMPHOME","Winter temperature when someone is home during the day","50 - 90	Winter temperature when someone is home during the day
-2	Not applicable
"
"ZTEMPHOME","Imputation flag for TEMPHOME","1	Imputed
0	Not imputed
-2	Not applicable
"
"TEMPGONE","Winter temperature when no one is home during the day","50 - 90	Winter temperature when no one is home during the day
-2	Not applicable
"
"ZTEMPGONE","Imputation flag for TEMPGONE","1	Imputed
0	Not imputed
-2	Not applicable
"
"TEMPNITE","Winter temperature at night","50 - 90	Winter temperature at night
-2	Not applicable
"
"ZTEMPNITE","Imputation flag for TEMPNITE","1	Imputed
0	Not imputed
-2	Not applicable
"
"EQUIPAUX","Secondary space heating equipment used","1	Yes
0	No
-2	Not applicable
"
"ZEQUIPAUX","Imputation flag for EQUIPAUX","1	Imputed
0	Not imputed
-2	Not applicable
"
"EQUIPAUXTYPE","Secondary space heating equipment type","1	Portable electric heater
2	Wood-burning stove
3	Natural gas fireplace
4	Wood-burning fireplace
9	Some other equipment
-2	Not applicable
"
"ZEQUIPAUXTYPE","Imputation flag for EQUIPAUXTYPE","1	Imputed
0	Not imputed
-2	Not applicable
